"Kingdom","Phylum","Class","Order","Family","Genus","kingdom","supergroup","division","class","order","family","genus","species"
"Bacteria","Planctomycetota","OM190",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","BD7-11",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","028H05-P-BN-P5",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Bealeia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","L21-RPul-D3",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","FS140-16B-02_marine_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","JL-ETNP-F27","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","LS-NOB","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","NB1-j",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Candidatus_Caldatribacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales_fa","Oligoflexus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales_fa",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales_fa","Pseudobacteriovorax","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfocella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia","Sva1033",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia","PB19",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadia_or",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Oceanococcus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Poseidonibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116_clade",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paenirhodobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","Candidatus_Puniceispirillum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","SAR324_clade(Marine_group_B)",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","mle1-27",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Blfdi19",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Polyangium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Aquaspirillaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Modicisalibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Salinimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Simonsiella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Bergeriella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pluralibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Maricurvus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rehaibacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Oceanicoccus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Necropsobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","I3A",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Halarcobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Malaciobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Cucumibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Zymomonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Thermopetrobacteraceae","Thermopetrobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Ectothiorhodospira","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Azorhizobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Candidatus_Phaeomarinobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Stappia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marinibacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivivens","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Roseibium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Haematobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pontivivens","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_Incertae_Sedis","Unknown_Family","Acuticoccus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Pararhodospirillum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Hoeflea","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aurantimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanibulbus","Bacteria",NA,NA,NA,NA,NA,NA,NA
